player_id,asset_name,fifa_player_id,player_name
Algorand:2153188007,Best Frens #0001,247279,L. Dykes
Algorand:2153413237,Best Frens #0002,226085,Léo Jardim
Algorand:2153487400,Best Frens #0003,253385,F. Viñas
Algorand:2153517622,Best Frens #0004,199451,W. Ben Yedder
Algorand:2154890151,Best Frens #0005,230324,Adrian Scitto
Algorand:2155383823,Best Frens #0006,194958,A. Mooy
Algorand:2155771639,Best Frens #0007,190120,K. Johnsson
Algorand:2157583031,Best Frens #0008,211559,Tiago Rodrigues
Algorand:2157621936,Best Frens #0009,259166,E. Green
Algorand:2157695951,Best Frens #0010,230191,Enzo Marteiro
Algorand:2160133312,Best Frens #0011,223627,O. Al Somah
Algorand:2160135652,Best Frens #0012,200389,J. Oblak
Algorand:2160176689,Best Frens #0013,187072,L. Stindl
Algorand:2162171947,Best Frens #0014,156433,A. Talavera
Algorand:2162247917,Best Frens #0015,252327,Manu Sánchez
Algorand:2162336562,Best Frens #0016,165560,M. Ruben
Algorand:2164776626,Best Frens #0017,202811,E. Martínez
Algorand:2165086231,Best Frens #0018,198347,F. Jara
Algorand:2165180323,Best Frens #0019,244853,K. Sowah
Algorand:2166482462,Best Frens #0020,208120,K. Przybyłko
Algorand:2166504064,Best Frens #0021,219953,Embarba
Algorand:2166562640,Best Frens #0022,201305,Gabriel Paulista
Algorand:2169219811,Best Frens #0023,248698,V. Bondar
Algorand:2169324881,Best Frens #0024,158023,L. Messi
Algorand:2169392236,Best Frens #0025,176580,L. Suárez
Algorand:2172559114,Best Frens #0026,245152,S. Giménez
Algorand:2172567094,Best Frens #0027,238922,M. Kaye
Algorand:2172569319,Best Frens #0028,182945,M. Gradel
Algorand:2174841780,Best Frens #0029,208461,M. de Roon
Algorand:2174845140,Best Frens #0030,171579,Raúl García
Algorand:2175981883,Best Frens #0031,232441,M. Higashiguchi
Algorand:2177851396,Best Frens #0032,200779,J. Clarke-Harris
Algorand:2177868619,Best Frens #0033,221479,D. Calvert-Lewin
Algorand:2177924924,Best Frens #0034,225018,F. Andone
Algorand:2180657424,Best Frens #0035,202651,Suso
Algorand:2181004638,Best Frens #0036,211688,Gayà
Algorand:2181074307,Best Frens #0037,241671,D. Livaković
Algorand:2183504455,Best Frens #0038,243647,A. Bayındır
Algorand:2183532765,Best Frens #0039,162329,K. El Ahmadi
Algorand:2184219535,Best Frens #0040,240138,W. Riveros
Algorand:2185728301,Best Frens #0041,184134,Fernando
Algorand:2185729325,Best Frens #0042,247019,B. Kouyaté
Algorand:2185859474,Best Frens #0043,181573,O. Akhmedov
Algorand:2187490354,Best Frens #0044,203841,N. Pope
Algorand:2187491063,Best Frens #0045,140233,G. Ochoa
Algorand:2187492017,Best Frens #0046,209519,G. Laborde
Algorand:2188748171,Best Frens #0047,177604,Nacho Monreal
Algorand:2188749229,Best Frens #0048,223877,D. Furlong
Algorand:2188749692,Best Frens #0049,210455,Jonny
Algorand:2188750460,Best Frens #0050,221841,A. Armstrong
Algorand:2190878340,Best Frens #0051,223694,E. Marxen
Algorand:2190890935,Best Frens #0052,198176,S. de Vrij
Algorand:2190891570,Best Frens #0053,223159,R. Dickie
Algorand:2192911727,Best Frens #0054,184200,M. Arnautović
Algorand:2192915091,Best Frens #0055,209519,G. Laborde
Algorand:2192919345,Best Frens #0056,201936,Kim Jin Hyeon
Algorand:2197479589,Best Frens #0057,234698,C. Songkrasin
Algorand:2200960498,Best Frens #0058,238033,F. Niță
Algorand:2201059931,Best Frens #0059,203841,N. Pope
Algorand:2206613629,Best Frens #0060,209960,Pacheco
Algorand:2717600799,Best Frens #0061,231447,D. Malen
Algorand:2208987265,Best Frens #0062,241637,A. Tchouaméni
Algorand:2209004432,Best Frens #0063,224251,R. Zentner
Algorand:2212826808,Best Frens #0064,240950,Pedro Gonçalves
Algorand:2213874474,Best Frens #0065,220295,E. Valencia
Algorand:2214810259,Best Frens #0066,212095,A. Meleán
Algorand:2216015156,Best Frens #0067,193698,O. Baumann
Algorand:2216023204,Best Frens #0068,41236,Z. Ibrahimović
Algorand:2224077013,Best Frens #0069,229406,João Novais
Algorand:2225245661,Best Frens #0070,241202,P. Daka
Algorand:2225723438,Best Frens #0071,240091,G. Vicario
Algorand:2226950919,Best Frens #0072,239904,D. Khocholava
Algorand:2244142963,Best Frens #0073,230665,Gustavo Sauer
Algorand:2270494118,Best Frens #0074,163489,A. Consigli
Algorand:2270521314,Best Frens #0075,229188,V. Pavlidis
Algorand:2287191698,Best Frens #0076,200758,L. Moore
Algorand:2328540056,Best Frens #0077,225375,K. Laimer
Algorand:2328549589,Best Frens #0078,235374,M. Lazzari
Algorand:2357152138,Best Frens #0079,215522,A. Schlager
Algorand:2384942694,Best Frens #0080,190014,Y. Salibur
Algorand:2388745126,Best Frens #0081,223689,W. Weghorst
Algorand:2461721427,Best Frens #0082,245278,Tomás Tavares
Algorand:2465539650,Best Frens #0083,207877,J. Martínez
Algorand:2517818505,Best Frens #0084,242534,C. Cásseres Jr
Algorand:2604595781,Best Frens #0085,230222,Ailton Valpaços
Algorand:2638250423,Best Frens #0086,183907,J. Boateng
Algorand:2638272031,Best Frens #0087,220609,V. Vada
Algorand:2638293561,Best Frens #0088,234378,D. Rice
Algorand:2642223774,Best Frens #0089,215333,D. Zapata
Algorand:2642224217,Best Frens #0090,L0027,Van Basten
Algorand:2643166052,Best Frens #0091,207732,Roger
Algorand:2658186693,Best Frens #0092,204447,F. Lucioni
Algorand:2658285094,Best Frens #0093,222041,L. Boyé
Algorand:2674647549,Best Frens #0094,230441,Vieiraldo Junior
Algorand:2675304886,Best Frens #0095,210406,P. Zieliński
Algorand:2675436639,Best Frens #0096,194934,Dani Jiménez
Algorand:2677837370,Best Frens #0097,139068,Nani
Algorand:2680868476,Best Frens #0098,209981,Y. Bounou
Algorand:2680879339,Best Frens #0099,231447,D. Malen
Algorand:2680886583,Best Frens #0100,199027,J. Robinson
Algorand:2681262790,Best Frens #0101,214436,P. Díaz
Algorand:2682721581,Best Frens #0102,156432,G. Hoarau
Algorand:2682723608,Best Frens #0103,L0023,Gerrard
Algorand:2682725150,Best Frens #0104,230513,Gus Outomouro
Algorand:2682731481,Best Frens #0105,198176,S. de Vrij
Algorand:2682734604,Best Frens #0106,200454,Paco Alcácer
Algorand:2690903115,Best Frens #0107,200302,G. Shinnie
Algorand:2690907525,Best Frens #0108,177723,Fabricio
Algorand:2703916404,Best Frens #0109,224294,L. Cook
Algorand:2703920365,Best Frens #0110,253293,B. Ocampo
Algorand:2707350802,Best Frens #0111,163587,K. Schmeichel
Algorand:2710761808,Best Frens #0112,247072,K. Eissa
Algorand:2710762936,Best Frens #0113,178750,Sergio Asenjo
Algorand:2713366790,Best Frens #0114,209889,R. Guerreiro
Algorand:2715988482,Best Frens #0115,230298,Walter Silvieiro
Algorand:2761034703,Best Frens #0116,230430,Oswaldinato
Algorand:2780313666,Best Frens #0117,171579,Raúl García
Algorand:2787222303,Best Frens #0118,229637,G. Akkan
Algorand:2787223780,Best Frens #0119,143598,L. Pocrnjic
Algorand:2787377063,Best Frens #0120,240130,Éder Militão
Algorand:2791526180,Best Frens #0121,230424,Sandelas Júnior
Algorand:2792692199,Best Frens #0122,227290,M. Dmitrović
Algorand:2792706149,Best Frens #0123,171791,José Fonte
Algorand:2801393405,Best Frens #0124,204838,R. Jiménez
Algorand:2812006041,Best Frens #0125,230601,Cryzan
Algorand:2812007365,Best Frens #0126,226166,N. Mukiele
Algorand:2812007611,Best Frens #0127,228782,João Gamboa
Algorand:2830326290,Best Frens #0128,234060,Y. Herrera
Algorand:2831337463,Best Frens #0129,176930,M. Díaz
Algorand:2833669503,Best Frens #0130,221564,N. Leiva
Algorand:2833689323,Best Frens #0131,206561,C. Walton
Algorand:2833713378,Best Frens #0132,230621,G. Donnarumma
Algorand:2847616523,Best Frens #0133,208128,H. Çalhanoğlu
Algorand:2869267115,Best Frens #0134,187754,Marlos
Algorand:2869271866,Best Frens #0135,221587,J. Lolley
