player_id,asset_name,fifa_player_id,player_name
Algorand:1997196605,ARG ELEMENTAL MUTANT #70,171975,G. Bergessio
Algorand:1251458189,ARG MUTANT #1,262951,S. Al Saeed
Algorand:1251462475,ARG MUTANT #10,226721,G. Alcalá
Algorand:1251462794,ARG MUTANT #11,213661,A. Christensen
Algorand:1251463021,ARG MUTANT #12,234796,J. Louchet
Algorand:1251463371,ARG MUTANT #13,256606,R. Murillo
Algorand:1251463659,ARG MUTANT #14,182270,W. Sandilands
Algorand:1251464127,ARG MUTANT #15,197242,G. Krychowiak
Algorand:1251464553,ARG MUTANT #16,212989,S. Luštica
Algorand:1251465502,ARG MUTANT #17,230142,Oyarzabal
Algorand:1251465996,ARG MUTANT #18,202698,L. Young
Algorand:1251466256,ARG MUTANT #19,257508,S. Roughan
Algorand:1251458656,ARG MUTANT #2,260570,J. Steuckers
Algorand:1251466674,ARG MUTANT #20,178160,T. Mangani
Algorand:1251467015,ARG MUTANT #21,255632,Yang Yiming
Algorand:1251467346,ARG MUTANT #22,246142,M. Wørts
Algorand:1251467648,ARG MUTANT #23,262371,C. Dundas
Algorand:1251467968,ARG MUTANT #24,237494,O. Gnjatić
Algorand:1251468351,ARG MUTANT #25,260007,J. Conway
Algorand:1266608470,ARG MUTANT #26,251071,R. Ion
Algorand:1266576095,ARG MUTANT #27,255994,V. Mendoza
Algorand:1266576577,ARG MUTANT #28,164484,J. Dahlin
Algorand:1266591132,ARG MUTANT #29,236370,L. Doumbouya
Algorand:1251459336,ARG MUTANT #3,259835,Robson
Algorand:1266609037,ARG MUTANT #30,189885,C. Noone
Algorand:1278650867,ARG MUTANT #31,253506,S. Lalmuanpuia
Algorand:1278651262,ARG MUTANT #32,205083,F. Fajr
Algorand:1278652900,ARG MUTANT #33,212432,Jo Hyeon Woo
Algorand:1278653351,ARG MUTANT #34,242696,Liu Guobo
Algorand:1278653797,ARG MUTANT #35,199247,Álex Fernández
Algorand:1290177053,ARG MUTANT #36,200984,Rafael Martins
Algorand:1290178097,ARG MUTANT #37,255992,E. Rabanal
Algorand:1290179223,ARG MUTANT #38,225117,N. Haas
Algorand:1290180416,ARG MUTANT #39,230503,Jadson Vidigal
Algorand:1251459765,ARG MUTANT #4,243427,R. Edmondson
Algorand:1290182197,ARG MUTANT #40,210380,D. Diamantakos
Algorand:1415770054,ARG MUTANT #41,245986,Cristian
Algorand:1415771332,ARG MUTANT #42,255009,K. Taylor
Algorand:1415771982,ARG MUTANT #43,230681,G. Pezzella
Algorand:1415773046,ARG MUTANT #44,263158,K. Hinokio
Algorand:1415773929,ARG MUTANT #45,191164,F. Martínez
Algorand:1628762996,ARG MUTANT #46,199475,W. Evseev
Algorand:1628764458,ARG MUTANT #47,255918,Lee Ji Yong
Algorand:1634000330,ARG MUTANT #48,260542,M. Cortave
Algorand:1632476563,ARG MUTANT #49,187857,G. Sandomierski
Algorand:1251460575,ARG MUTANT #5,259129,K. Paulsen
Algorand:1632478070,ARG MUTANT #50,181291,G. Wijnaldum
Algorand:1636095330,ARG MUTANT #51,260444,J. Ibáñez
Algorand:1636096710,ARG MUTANT #52,228312,R. Lod
Algorand:1636098375,ARG MUTANT #53,256669,F. Pemi Moumbagna
Algorand:1636100384,ARG MUTANT #54,194644,Montoya
Algorand:1636102009,ARG MUTANT #55,257890,C. Nieuwenhof
Algorand:1636103432,ARG MUTANT #56,226514,D. Harvie
Algorand:1997083620,ARG MUTANT #59,238332,E. Copetti
Algorand:1251460828,ARG MUTANT #6,261432,J. Coburn
Algorand:1997092988,ARG MUTANT #60,235975,A. Al Aryani
Algorand:1997101816,ARG MUTANT #61,251298,O. Hanin
Algorand:1997109335,ARG MUTANT #62,225014,G. Castrovilli
Algorand:1997117913,ARG MUTANT #63,220901,David Raya
Algorand:1997136565,ARG MUTANT #64,241981,Nanu
Algorand:1997143484,ARG MUTANT #65,206144,C. Lyons
Algorand:1997153621,ARG MUTANT #66,212194,J. Brandt
Algorand:1997165058,ARG MUTANT #67,232627,H. Goya
Algorand:2044729479,ARG MUTANT #68,248862,J. Orellana
Algorand:2044731151,ARG MUTANT #69,256688,C. Puertas
Algorand:1251461273,ARG MUTANT #7,255947,N. Gorzel
Algorand:2044805725,ARG MUTANT #71,264099,L. Everink
Algorand:2044755372,ARG MUTANT #72,262621,G. Mamardashvili
Algorand:2075874889,ARG MUTANT #73,263424,M. Viltard
Algorand:2086424535,ARG MUTANT #74,229328,H. Kleppa
Algorand:2086435792,ARG MUTANT #75,190815,D. Blind
Algorand:2344894304,ARG MUTANT #76,254725,F. Romero
Algorand:2345931806,ARG MUTANT #77,235253,P. Kammerbauer
Algorand:1251461665,ARG MUTANT #8,246728,L. Traoré
Algorand:1251462003,ARG MUTANT #9,263936,D. Ayala
Algorand:1997045545,ARG Mutants #57,193698,O. Baumann
Algorand:1997063541,ARG Mutants #58,181872,A. Vidal
Algorand:920809079,Addict Rabbit Gang 1,239679,P. Mazzocchi
Algorand:920809088,Addict Rabbit Gang 10,218343,R. Hedges
Algorand:920809181,Addict Rabbit Gang 100,244089,T. Hara
Algorand:920810199,Addict Rabbit Gang 1000,228942,D. Cools
Algorand:920810200,Addict Rabbit Gang 1001,152567,A. Tettey
Algorand:920810201,Addict Rabbit Gang 1002,260617,M. Natta
Algorand:920810202,Addict Rabbit Gang 1003,263490,J. McGonigle
Algorand:920810203,Addict Rabbit Gang 1004,258056,S. Long
Algorand:920810204,Addict Rabbit Gang 1005,252796,M. Whittaker
Algorand:920810205,Addict Rabbit Gang 1006,225600,A. Al Ammar
Algorand:920810206,Addict Rabbit Gang 1007,205243,M. Wagué
Algorand:920810207,Addict Rabbit Gang 1008,241278,O. Moruțan
Algorand:920810211,Addict Rabbit Gang 1009,190780,S. Johnson
Algorand:920809182,Addict Rabbit Gang 101,253688,M. Popa
Algorand:920810212,Addict Rabbit Gang 1010,200215,S. Rode
Algorand:920810213,Addict Rabbit Gang 1011,235971,Pablo Larrea
Algorand:920810214,Addict Rabbit Gang 1012,201041,L. Carole
Algorand:920810215,Addict Rabbit Gang 1013,253385,F. Viñas
Algorand:920810216,Addict Rabbit Gang 1014,205386,G. Hubert
Algorand:920810217,Addict Rabbit Gang 1015,190697,S. Strandberg
Algorand:920810218,Addict Rabbit Gang 1016,251189,T. Somers
Algorand:920810219,Addict Rabbit Gang 1017,235133,M. Finotto
Algorand:920810220,Addict Rabbit Gang 1018,252658,Baek Jong Beom
Algorand:920810221,Addict Rabbit Gang 1019,243158,L. Wahlstedt
Algorand:920809183,Addict Rabbit Gang 102,254276,E. van der Gouw
Algorand:920810222,Addict Rabbit Gang 1020,223091,R. Donelon
Algorand:920810223,Addict Rabbit Gang 1021,236458,A. Poungouras
Algorand:920810224,Addict Rabbit Gang 1022,234032,Lluís López
Algorand:920810225,Addict Rabbit Gang 1023,238041,T. Malacia
Algorand:920810226,Addict Rabbit Gang 1024,208614,A. Uryga
Algorand:920810229,Addict Rabbit Gang 1025,214421,F. Hinestroza
Algorand:920810230,Addict Rabbit Gang 1026,258390,I. Grbić
Algorand:920810231,Addict Rabbit Gang 1027,259762,V. Kristiansen
Algorand:920810232,Addict Rabbit Gang 1028,230382,Milton Menceiros
Algorand:920810233,Addict Rabbit Gang 1029,205727,J. Furlan
Algorand:920809184,Addict Rabbit Gang 103,233606,J. Angulo
Algorand:920810234,Addict Rabbit Gang 1030,263938,I. Ogundere
Algorand:920810235,Addict Rabbit Gang 1031,247394,D. Kulusevski
Algorand:920810236,Addict Rabbit Gang 1032,259779,O. Noronha
Algorand:920810237,Addict Rabbit Gang 1033,260244,A. Disaro
Algorand:920810238,Addict Rabbit Gang 1034,211591,M. Dembélé
Algorand:920810239,Addict Rabbit Gang 1035,260095,G. Parra
Algorand:920810240,Addict Rabbit Gang 1036,224221,J. Andersen
Algorand:920810241,Addict Rabbit Gang 1037,186098,R. Cota
Algorand:920810242,Addict Rabbit Gang 1038,238051,R. Vinderslev
Algorand:920810243,Addict Rabbit Gang 1039,244407,Pol Lozano
Algorand:920809185,Addict Rabbit Gang 104,254562,A. Abaz
Algorand:920810244,Addict Rabbit Gang 1040,227638,S. Abdullahi
Algorand:920810246,Addict Rabbit Gang 1041,255236,M. Bakker
Algorand:920810247,Addict Rabbit Gang 1042,251355,M. Shaker
Algorand:920810248,Addict Rabbit Gang 1043,196978,C. Wilson
Algorand:920810249,Addict Rabbit Gang 1044,248300,M. Singh
Algorand:920810250,Addict Rabbit Gang 1045,255769,Kim Joo Hwan
Algorand:920810251,Addict Rabbit Gang 1046,262627,J. Forst
Algorand:920810252,Addict Rabbit Gang 1047,257439,R. Ofori
Algorand:920810253,Addict Rabbit Gang 1048,263584,S. Baş
Algorand:920810254,Addict Rabbit Gang 1049,260212,T. Nishino
Algorand:920809186,Addict Rabbit Gang 105,244147,A. Păun
Algorand:920810255,Addict Rabbit Gang 1050,244780,E. Masciangelo
Algorand:920810256,Addict Rabbit Gang 1051,192129,K. Nordfeldt
Algorand:920810257,Addict Rabbit Gang 1052,261887,Jiang Wenhao
Algorand:920810258,Addict Rabbit Gang 1053,214326,C. Vilches
Algorand:920810259,Addict Rabbit Gang 1054,184707,G. Madine
Algorand:920810260,Addict Rabbit Gang 1055,231836,J. Karlsson
Algorand:920810261,Addict Rabbit Gang 1056,53655,J. Bothroyd
Algorand:920810262,Addict Rabbit Gang 1057,263423,Q. Galvez-Diarra
Algorand:920810263,Addict Rabbit Gang 1058,202562,J. Roussillon
Algorand:920810264,Addict Rabbit Gang 1059,258004,J. Ngounou Djayo
Algorand:920809187,Addict Rabbit Gang 106,177358,M. Schneiderlin
Algorand:920810265,Addict Rabbit Gang 1060,189536,D. Čop
Algorand:920810266,Addict Rabbit Gang 1061,241202,P. Daka
Algorand:920810267,Addict Rabbit Gang 1062,238694,L. Röser
Algorand:920810268,Addict Rabbit Gang 1063,232655,S. Juklerød
Algorand:920810269,Addict Rabbit Gang 1064,264150,E. Kwelele
Algorand:920810270,Addict Rabbit Gang 1065,253569,A. Quiñonez
Algorand:920810271,Addict Rabbit Gang 1066,220901,David Raya
Algorand:920810272,Addict Rabbit Gang 1067,256321,J. Hernández
Algorand:920810273,Addict Rabbit Gang 1068,236532,R. Koch
Algorand:920810274,Addict Rabbit Gang 1069,230327,Gérson Damesio
Algorand:920809188,Addict Rabbit Gang 107,260553,K. Stokes
Algorand:920810275,Addict Rabbit Gang 1070,192970,D. Mayor
Algorand:920810276,Addict Rabbit Gang 1071,255632,Yang Yiming
Algorand:920810277,Addict Rabbit Gang 1072,255009,K. Taylor
Algorand:920810279,Addict Rabbit Gang 1073,240209,G. Koyalipou
Algorand:920810280,Addict Rabbit Gang 1074,256287,F. Farías
Algorand:920810281,Addict Rabbit Gang 1075,148729,I. Austbø
Algorand:920810282,Addict Rabbit Gang 1076,252872,M. Al Ghamdi
Algorand:920810283,Addict Rabbit Gang 1077,233369,L. Montoya
Algorand:920810284,Addict Rabbit Gang 1078,232589,K. Kozuka
Algorand:920810285,Addict Rabbit Gang 1079,201325,C. Tătărușanu
Algorand:920809189,Addict Rabbit Gang 108,232441,M. Higashiguchi
Algorand:920810286,Addict Rabbit Gang 1080,193077,D. Falcinelli
Algorand:920810287,Addict Rabbit Gang 1081,198719,N. Redmond
Algorand:920810288,Addict Rabbit Gang 1082,263991,Marcelo dos Santos
Algorand:920810289,Addict Rabbit Gang 1083,157304,T. Vermaelen
Algorand:920810290,Addict Rabbit Gang 1084,227920,I. Azzaoui
Algorand:920810291,Addict Rabbit Gang 1085,236191,Enzio Julião
Algorand:920810292,Addict Rabbit Gang 1086,257877,J. Adamu
Algorand:920810293,Addict Rabbit Gang 1087,241099,L. Finochietto
Algorand:920810294,Addict Rabbit Gang 1088,254239,F. Bamenye
