name,asset_id,tier
Lost Pigs 0001 - Aurous,369251208,Tier 1
Lost Pigs 0002 - 2wo,369267255,Tier 1
Lost Pigs 0003 - Thre3,369270796,Tier 1
Lost Pigs 0004 - 4our,369273746,Tier 1
Lost Pigs 0005 - Fi5e,369281227,Tier 1
Lost Pigs 0006 - Si6,369305106,Tier 1
Lost Pigs 0007 - Se7en,371000513,Tier 1
Lost Pigs 0008 - Ei8ht,376789115,Tier 1
Lost Pigs 0009 - Nin9,376792612,Tier 1
Lost Pigs 0010 - Te10,376796024,Tier 1
Lost Pigs 0011 - Oliver,369333803,Tier 1
Lost Pigs 0012 - Bryan,371010243,Tier 1
Lost Pigs 0013 - Simeon,371677419,Tier 1
Lost Pigs 0014 - Jacobs,371661238,Tier 1
Lost Pigs 0015 - Gunner,371663194,Tier 1
Lost Pigs 0016 - Bryson,369368670,Tier 1
Lost Pigs 0017 - Anderson,681449414,Tier 1
Lost Pigs 0018 - Livingston,681994764,Tier 1
Lost Pigs 0019 - Mason,681997799,Tier 1
Lost Pigs 0020 - Simmons,682000075,Tier 1
Lost Pigs 0021 - Anaya,378851793,Tier 1
Lost Pigs 0022 - Kaylah,911669482,Tier 1
Lost Pigs 0023 - Khons,378857167,Tier 1
Lost Pigs 0024 - Heqet,378866477,Tier 1
Lost Pigs 0025 - Reagan,378865653,Tier 1
Lost Pigs 0026 - Randall,378867491,Tier 1
Lost Pigs 0027 - Terrance,378868439,Tier 1
Lost Pigs 0028 - Jayden,378875206,Tier 1
Lost Pigs 0029 - Pumpkin Head,378877561,Tier 1
Lost Pigs 0030 - Nates,378908397,Tier 1
Lost Pigs 0031 - Touma,388471960,Tier 1
Lost Pigs 0032 - Kenji,388474790,Tier 1
Lost Pigs 0033 - Fumiko,388476667,Tier 1
Lost Pigs 0034 - Kaen,388485192,Tier 1
Lost Pigs 0035 - Shimizu,388490125,Tier 1
Lost Pigs 0036 - Ankoku,388492905,Tier 1
Lost Pigs 0037 - Taiyō,388496743,Tier 1
Lost Pigs 0038 - Hayashi,388499777,Tier 1
Lost Pigs 0039 - Junichiro,388503044,Tier 1
Lost Pigs 0040 - Hideo,388509040,Tier 1
Lost Pigs 0041 - Hikaru,400266071,Tier 1
Lost Pigs 0042 - Kyo,400272916,Tier 1
Lost Pigs 0043 - Katashi,400277208,Tier 1
Lost Pigs 0044 - Sora,400282395,Tier 1
Lost Pigs 0045 - Shigeru,400285603,Tier 1
Lost Pigs 0046 - Daichi,400288823,Tier 1
